,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Iso_3_128,59,94,87,75,101,41,24,23,33,31
Iso_3_129,219,227,291,324,217,56,118,72,55,100
Iso_3_130,1880,1621,1841,1590,1508,372,535,318,312,429
Iso_3_131,1188,1316,1264,1242,1497,393,280,402,399,408
Iso_3_132,47,35,72,35,60,3,3,5,14,7
Iso_3_133,771,837,1000,785,953,182,259,161,214,267
Iso_3_134,3,3,0,1,1,16,18,22,30,19
Iso_3_135,0,0,1,7,2,1,0,0,1,1
Iso_3_136,125,87,156,149,156,432,436,380,742,758
Iso_3_137,103,60,127,104,213,196,384,450,555,337
Iso_3_138,13,9,2,4,9,86,47,71,47,52
Iso_3_139,67,23,20,9,34,107,119,89,59,36
Iso_3_140,790,701,650,731,822,171,228,151,241,70
Iso_3_141,441,377,364,438,356,116,190,77,56,120
Iso_3_142,464,240,392,128,363,1729,1449,1855,1771,1231
Iso_3_143,10,26,13,16,10,67,80,37,34,44
Iso_3_144,225,118,161,299,259,448,866,594,456,864
Iso_3_145,4,6,0,4,5,0,4,0,0,7
Iso_3_146,2,12,4,2,2,4,6,0,1,13
Iso_3_147,3949,4450,4018,4462,3859,1686,1493,1459,1627,1129
Iso_3_148,2835,2377,2451,2682,2732,441,716,648,684,515
Iso_3_149,734,708,684,729,612,182,162,171,211,175
Iso_3_150,11,14,3,8,5,7,19,21,49,42
Iso_3_151,92,104,64,86,59,485,360,434,368,425
Iso_3_152,341,95,158,160,48,661,831,1144,972,850
Iso_3_153,223,160,219,221,171,59,84,43,78,71
Iso_3_154,6238,6175,7849,6151,7565,1377,1971,1998,1922,1691
Iso_3_155,199,183,96,151,146,372,718,792,515,360
Iso_3_156,4469,4059,3484,4373,4309,979,1400,1220,1013,1389
Iso_3_157,799,611,639,583,791,2102,2551,2031,2736,2208
Iso_3_158,6436,7490,7284,6681,6650,1949,1683,2554,1793,1901
Iso_3_159,709,669,636,748,559,143,74,200,143,167
Iso_3_160,668,744,722,761,631,117,671,213,157,75
Iso_3_161,10,174,18,6,67,387,55,29,263,61
Iso_3_162,344,185,198,413,267,1070,1032,1157,1189,1282
Iso_3_163,3,1,1,1,1,13,20,18,17,20
Iso_3_164,20,12,2,6,11,51,28,95,102,75
Iso_3_165,111,60,61,65,60,355,248,315,228,196
Iso_3_166,180,91,147,127,121,17,74,58,45,59
Iso_3_167,192,207,97,230,75,608,829,437,620,715
Iso_3_168,198,174,180,228,240,73,38,49,48,49
Iso_3_169,36,6,35,16,40,161,221,64,31,76
Iso_3_170,15,4,18,12,9,2,1,3,7,0
Iso_3_171,1700,1471,1641,1488,1499,562,341,293,388,524
Iso_3_172,46,57,85,84,87,29,22,15,36,5
Iso_3_173,349,463,366,393,356,1226,1459,1484,1641,1474
Iso_3_174,1386,1516,1576,1629,1577,466,449,446,523,600
Iso_3_175,48,51,19,12,38,762,107,55,77,83
Iso_3_176,604,610,546,664,566,197,115,199,95,163
Iso_3_177,181,236,95,110,187,416,619,142,161,788
Iso_3_178,30,27,70,9,47,129,241,212,140,165
Iso_3_179,405,312,276,457,292,87,110,143,74,135
Iso_3_180,858,782,984,862,824,124,461,173,165,261
Iso_3_181,126,77,45,38,135,392,466,246,353,496
Iso_3_182,314,384,293,403,276,1654,1077,997,1013,1610
Iso_3_183,7,10,28,24,32,11,3,4,9,9
Iso_3_184,32,42,23,23,26,4,8,1,6,22
Iso_3_185,121,140,54,97,62,423,210,251,422,345
Iso_3_186,228,270,258,385,286,60,154,86,142,38
Iso_3_187,751,705,724,707,778,185,213,215,152,205
Iso_3_188,242,255,251,197,210,1447,741,769,1010,931
Iso_3_189,2294,2167,2199,2082,2505,1429,277,793,862,933
Iso_3_190,578,772,647,654,571,2314,1865,2722,3280,2224
Iso_3_191,0,0,0,1,0,0,1,0,0,0
Iso_3_192,35,13,51,50,30,6,8,21,9,1
Iso_3_193,0,2,2,2,2,5,9,4,9,4
Iso_3_194,146,163,153,141,115,595,467,754,459,1052
Iso_3_195,378,392,371,435,469,139,82,95,214,159
Iso_3_196,34,16,32,21,59,129,50,82,143,127
Iso_3_197,295,533,360,411,328,1738,1556,1276,898,1640
Iso_3_198,341,332,406,393,310,52,44,99,126,60
Iso_3_199,222,234,275,209,301,71,43,63,78,65
Iso_3_200,126,124,173,84,133,320,278,647,300,481
Iso_3_201,133,197,276,260,194,1688,1558,1268,978,1080
Iso_3_202,18,21,19,12,0,88,30,25,53,38
Iso_3_203,150,164,149,48,171,660,391,556,508,490
Iso_3_204,341,292,262,347,351,21,28,22,9,28
Iso_3_205,555,383,155,337,268,758,2695,1632,1448,1708
Iso_3_206,0,3,1,13,1,11,26,16,10,9
Iso_3_207,54,58,32,33,30,15,32,6,17,9
Iso_3_208,110,184,58,30,190,302,448,445,446,389
Iso_3_209,4273,4910,4978,4942,5068,1063,1188,1315,1428,1575
Iso_3_210,3288,2932,3170,3219,3277,957,832,1147,854,1009
Iso_3_211,61,121,117,34,225,242,367,220,700,836
Iso_3_212,622,701,403,696,811,2389,3288,1960,1791,3114
Iso_3_213,33,15,19,21,26,85,94,37,107,61
Iso_3_214,1546,1439,1166,1209,1374,262,389,251,444,239
Iso_3_215,48,50,16,25,33,13,6,5,4,12
Iso_3_216,16,48,16,20,28,37,155,71,119,22
Iso_3_217,1057,966,932,985,998,311,162,353,197,129
Iso_3_218,15,57,9,7,0,6,28,16,32,13
Iso_3_219,32,19,16,23,13,5,6,9,6,10
Iso_3_220,236,384,316,276,274,910,281,1212,654,820
Iso_3_221,44,13,108,97,38,356,256,246,207,396
Iso_3_222,243,292,324,370,380,90,82,91,71,89
Iso_3_223,708,680,733,1057,688,1473,2489,1700,2486,1285
Iso_3_224,18,12,11,27,12,8,7,6,9,4
Iso_3_225,114,103,128,87,138,16,28,31,25,15
Iso_3_226,2858,2953,3160,3432,3062,1030,790,921,1259,1028
Iso_3_227,66,156,90,122,136,313,409,718,153,88
Iso_3_228,33,33,35,16,20,124,133,72,90,95
Iso_3_229,1007,903,766,931,1013,370,161,238,228,249
Iso_3_230,230,141,238,304,267,568,636,950,453,626
Iso_3_231,61,52,61,48,71,15,41,17,24,9
Iso_3_232,173,37,181,204,194,159,133,447,56,44
Iso_3_233,1754,1762,1529,1527,1555,374,404,561,524,609
Iso_3_234,1980,2113,2015,1420,2459,6149,4899,8831,8047,5018
Iso_3_235,257,265,277,222,211,87,82,83,65,86
Iso_3_236,19,6,24,26,22,57,104,92,108,106
Iso_3_237,389,391,373,424,309,175,90,200,112,89
Iso_3_238,88,89,112,126,66,974,303,222,443,428
Iso_3_239,0,6,3,5,6,1,1,0,1,0
Iso_3_240,432,468,383,383,327,332,215,114,12,61
Iso_3_241,100,205,64,70,153,480,450,419,549,519
Iso_3_242,928,772,928,1023,818,297,184,360,400,340
Iso_3_243,80,89,55,105,37,424,373,360,307,234
Iso_3_244,39,21,67,81,18,377,280,120,115,202
Iso_3_245,599,659,681,632,678,186,201,102,75,210
Iso_3_246,173,202,216,241,260,57,45,94,5,60
Iso_3_247,340,347,281,234,312,1143,1190,988,949,1029
Iso_3_248,98,58,48,50,33,81,42,72,97,124
Iso_3_249,64,126,52,168,226,301,567,15,7,518
Iso_3_250,143,43,144,172,124,449,787,392,379,364
Iso_3_251,78,113,93,108,57,254,258,340,310,392
Iso_3_252,91,49,35,55,61,22,15,13,22,22
Iso_3_253,1738,1584,1750,1488,1443,600,349,437,382,593
Iso_3_254,423,400,434,399,569,1849,1640,2124,1558,2149
Iso_3_255,2,6,3,36,2,3,93,34,8,11
Iso_3_256,127,158,190,224,127,46,54,21,43,36
Iso_3_257,33,27,60,63,29,191,97,58,158,177
Iso_3_258,308,335,302,237,379,1198,625,550,1327,668
Iso_3_259,48,31,25,30,20,75,187,146,98,169
Iso_3_260,2,0,1,2,1,3,3,2,7,1
Iso_3_261,2463,2315,2205,2459,2100,245,445,514,618,823
Iso_3_262,355,184,38,163,60,672,348,685,271,253
Iso_3_263,843,935,850,782,722,227,143,233,235,291
Iso_3_264,33,40,82,40,13,59,88,305,246,75
Iso_3_265,3,0,1,0,0,4,3,0,5,2
Iso_3_266,4,8,12,20,9,20,81,82,58,129
Iso_3_267,113,97,230,83,50,566,3141,2205,2387,725
Iso_3_268,189,265,241,179,241,57,50,67,51,74
Iso_3_269,33,39,17,47,23,8,14,6,2,20
Iso_3_270,160,271,221,338,237,557,652,737,639,1156
Iso_3_271,113,111,63,48,96,293,412,328,224,479
Iso_3_272,4,1,3,2,5,2,31,16,16,3
Iso_3_273,1526,1343,1479,1204,1652,444,428,228,454,398
Iso_3_274,619,583,499,592,479,1765,2103,2006,1638,1620
Iso_3_275,111,42,89,91,142,305,325,380,393,239
Iso_3_276,983,1217,943,1161,1062,498,209,187,292,191
Iso_3_277,65,52,60,40,54,16,25,16,7,16
Iso_3_278,0,1,0,9,1,10,19,2,12,10
Iso_3_279,138,83,109,129,70,428,289,385,401,436
Iso_3_280,1256,1056,1057,1197,1209,240,227,263,198,306
Iso_3_281,191,183,270,255,248,32,75,50,82,49
Iso_3_282,85,71,71,90,50,18,24,17,18,16
Iso_3_283,19917,19844,18183,21614,19442,6069,3917,5979,4462,4657
Iso_3_284,94,193,117,68,293,627,830,329,798,1054
Iso_3_285,401,429,347,436,501,129,105,148,119,126
Iso_3_286,1313,1468,1326,1122,1379,421,417,327,353,393
Iso_3_287,297,424,317,348,345,995,1141,1010,841,896
Iso_3_288,414,799,267,402,307,1709,2321,905,1974,581
Iso_3_289,481,405,490,439,397,83,100,161,185,120
Iso_3_290,47,65,63,53,44,29,22,5,10,52
Iso_3_291,20,7,10,11,5,8,3,4,7,6
Iso_3_292,64,26,44,16,130,515,335,1214,169,1521
Iso_3_293,9,4,6,9,2,2,3,1,3,0
Iso_3_294,27,2,9,2,32,38,105,38,53,66
Iso_3_295,54,34,14,16,12,39,226,71,19,122
Iso_3_296,12,34,17,8,7,4,12,11,5,11
Iso_3_297,18,52,10,59,29,198,352,9,28,54
Iso_3_298,106,466,134,102,290,604,1061,2887,641,923
Iso_3_299,299,276,373,405,305,6,19,82,3,61
Iso_3_300,1319,1128,1174,1287,1178,4018,5187,2798,3324,3704
Iso_3_301,125,265,222,265,197,293,283,291,154,193
Iso_3_302,36,0,43,3,31,17,36,29,21,9
Iso_3_303,8,20,15,3,23,21,1,27,41,14
Iso_3_304,63,16,11,32,10,12,18,3,14,16
Iso_3_305,4,2,1,3,2,2,4,1,3,5
Iso_3_306,76,52,79,54,89,47,49,73,87,98
Iso_3_307,28,307,186,181,200,172,467,177,207,188
Iso_3_308,137,254,124,108,159,115,136,112,107,133
Iso_3_309,648,677,806,828,846,932,586,369,1532,814
Iso_3_310,532,508,578,503,508,355,632,355,501,348
Iso_3_311,68,62,65,31,29,6,43,78,71,69
Iso_3_312,6,6,6,8,36,7,22,16,21,53
Iso_3_313,27,32,28,28,35,34,38,30,59,54
Iso_3_314,45,31,50,66,52,60,52,43,54,49
Iso_3_315,35,23,17,52,24,63,30,71,12,19
Iso_3_316,256,160,68,76,379,93,54,108,212,170
Iso_3_317,8,0,7,3,3,6,1,6,6,0
Iso_3_318,0,0,0,0,0,1,1,0,0,1
Iso_3_319,315,441,260,383,411,467,438,562,350,424
Iso_3_320,22,28,23,31,26,21,22,25,23,23
Iso_3_321,110,353,18,9,11,2,93,4,47,10
Iso_3_322,41,56,68,44,50,59,69,48,91,68
Iso_3_323,171,155,122,111,137,210,177,60,157,125
Iso_3_324,0,0,0,1,0,1,0,2,0,0
Iso_3_325,36,64,90,53,43,62,30,80,60,37
Iso_3_326,400,275,491,244,404,437,381,248,551,423
Iso_3_327,1,1,5,0,19,3,1,2,1,0
Iso_3_328,169,270,275,197,288,343,200,194,389,116
Iso_3_329,8,7,1,3,7,2,8,8,3,3
Iso_3_330,14,7,12,26,20,16,15,14,12,13
Iso_3_331,80,191,158,156,240,144,163,345,250,225
Iso_3_332,0,1,0,0,2,2,0,1,1,0
Iso_3_333,1170,2334,926,1071,1505,1892,1867,1531,872,1129
Iso_3_334,66,57,40,113,55,61,90,107,89,81
Iso_3_335,87,113,69,135,40,36,84,125,84,91
Iso_3_336,176,114,156,211,129,222,169,212,328,176
Iso_3_337,32,172,190,71,6,20,146,50,91,16
Iso_3_338,44,26,94,69,67,30,50,47,35,72
Iso_3_339,12,39,35,28,62,21,36,54,20,41
Iso_3_340,87,119,128,169,145,113,144,165,82,200
Iso_3_341,46,2,81,29,16,84,21,62,49,34
Iso_3_342,649,748,823,1127,676,753,960,378,1259,1219
Iso_3_343,45,38,46,22,30,34,34,39,26,36
Iso_3_344,61,130,113,136,106,127,75,98,90,66
Iso_3_345,240,681,109,83,88,439,119,152,314,214
Iso_3_346,0,0,0,1,0,2,1,0,0,0
Iso_3_347,218,216,200,241,269,245,261,213,196,173
Iso_3_348,127,189,152,219,116,108,149,239,95,195
Iso_3_349,125,146,169,117,162,136,146,123,272,297
Iso_3_350,45,19,49,129,72,35,117,78,60,79
Iso_3_351,18,26,5,2,9,2,12,7,6,4
Iso_3_352,1914,2050,1792,1816,2033,1567,1533,1545,1794,1376
Iso_3_353,259,175,130,237,242,362,208,288,145,171
Iso_3_354,165,341,186,478,258,645,185,180,357,152
Iso_3_355,122,225,143,162,87,56,102,112,104,110
Iso_3_356,248,179,237,232,75,219,180,189,258,133
Iso_3_357,334,130,234,136,237,274,167,195,235,188
Iso_3_358,233,230,217,103,118,174,168,98,71,76
Iso_3_359,2777,2955,2935,4077,2144,3115,2247,3844,2494,2670
Iso_3_360,53,233,130,215,36,126,117,89,73,70
Iso_3_361,199,159,208,232,215,292,244,209,157,177
Iso_3_362,36,23,87,30,21,40,5,44,21,36
Iso_3_363,342,173,53,190,143,45,91,244,357,42
Iso_3_364,216,233,177,185,215,223,237,220,173,169
Iso_3_365,91,118,104,121,104,168,127,133,143,271
Iso_3_366,220,78,156,184,225,92,221,264,174,302
Iso_3_367,9,10,5,11,9,12,12,8,5,15
Iso_3_368,1,3,2,1,0,0,1,3,6,5
Iso_3_369,43,38,41,59,40,41,64,61,58,49
Iso_3_370,496,402,438,436,470,327,563,346,563,496
Iso_3_371,17,9,14,13,16,19,12,22,12,33
Iso_3_372,472,766,606,607,620,772,648,624,531,595
Iso_3_373,332,387,281,390,351,394,363,221,270,228
Iso_3_374,97,91,217,68,180,141,40,67,176,147
Iso_3_375,6,28,24,1,4,12,10,22,8,18
Iso_3_376,173,212,167,279,112,179,142,138,138,134
Iso_3_377,521,518,701,389,606,639,543,725,591,615
Iso_3_378,365,233,284,313,179,297,267,365,126,86
Iso_3_379,14,6,17,26,24,26,12,31,25,47
Iso_3_380,30,26,14,35,39,39,42,28,37,24
Iso_3_381,42,52,101,61,64,88,70,176,46,60
Iso_3_382,12,27,37,45,45,19,16,50,24,45
Iso_3_383,2082,2261,1151,2162,1619,1981,3481,1867,2297,1917
Iso_3_384,43,35,62,75,39,20,34,47,48,47
Iso_3_385,16,37,29,6,13,11,5,0,38,13
Iso_3_386,13,75,109,87,152,125,366,70,103,203
Iso_3_387,77,294,88,103,97,38,69,76,104,54
Iso_3_388,42,50,53,63,43,64,37,47,46,39
Iso_3_389,46,56,49,55,60,168,79,111,80,51
Iso_3_390,5,6,4,12,8,13,15,15,10,18
Iso_3_391,18,14,14,16,9,8,6,23,24,31
Iso_3_392,36,51,30,103,53,39,23,6,50,10
Iso_3_393,4,3,4,1,4,8,3,3,3,4
Iso_3_394,54,56,69,60,60,55,32,44,53,36
Iso_3_395,361,308,246,402,242,275,313,282,368,293
Iso_3_396,147,108,226,240,110,156,221,317,118,262
Iso_3_397,169,268,342,224,480,361,274,345,225,159
Iso_3_398,31,64,64,48,42,47,53,35,43,58
Iso_3_399,63,139,72,75,22,119,91,66,79,105
Iso_3_400,152,115,238,96,206,137,173,302,48,256
Iso_3_401,414,300,384,311,404,462,499,399,528,405
Iso_3_402,372,458,436,220,442,302,305,592,610,398
Iso_3_403,1,1,3,1,3,2,2,0,0,1
Iso_3_404,135,440,324,369,229,101,349,322,713,19
Iso_3_405,10,2,2,4,9,5,4,5,8,2
Iso_3_406,197,231,243,177,258,320,140,100,156,462
Iso_3_407,23,23,29,23,34,20,24,28,30,23
Iso_3_408,5864,7291,7569,9663,8020,6465,8553,7011,5036,9510
Iso_3_409,423,627,654,589,610,834,703,1537,390,639
Iso_3_410,86,10,71,60,134,78,42,42,66,20
Iso_3_411,35,105,143,182,101,51,72,152,29,15
Iso_3_412,128,246,102,132,277,160,275,288,253,272
Iso_3_413,34,27,40,17,14,17,23,28,10,22
Iso_3_414,2,3,7,2,4,6,7,3,8,6
Iso_3_415,468,405,374,328,311,607,508,390,565,469
Iso_3_416,80,108,144,68,53,36,49,91,90,52
Iso_3_417,25,78,50,43,70,54,66,57,29,49
Iso_3_418,201,80,125,229,91,258,215,90,96,256
Iso_3_419,291,179,324,250,248,281,233,297,207,385
Iso_3_420,126,128,177,204,207,185,92,205,182,176
Iso_3_421,61,65,72,29,62,50,56,86,114,56
Iso_3_422,140,48,159,99,123,106,68,78,99,86
Iso_3_423,27,48,36,31,45,53,28,41,44,40
Iso_3_424,0,0,0,0,1,0,0,0,1,2
Iso_3_425,101,365,223,282,302,129,223,240,317,154
Iso_3_426,71,183,41,122,7,81,11,78,340,5
Iso_3_427,229,263,283,376,268,375,140,225,231,406
Iso_3_428,247,633,128,108,72,571,451,67,964,329
Iso_3_429,4,2,2,7,6,7,5,10,8,4
Iso_3_430,114,35,128,63,212,124,30,259,91,137
Iso_3_431,18,12,15,16,6,12,11,6,3,8
Iso_3_432,13,10,7,13,17,25,10,17,10,10
Iso_3_433,80,13,19,75,58,64,0,45,23,27
Iso_3_434,58,104,103,132,136,160,128,96,102,208
Iso_3_435,1220,1226,2538,2545,2625,2371,3593,1734,1721,2185
Iso_3_436,37,44,90,69,29,23,54,22,70,37
Iso_3_437,34,69,30,72,60,47,35,81,66,26
Iso_3_438,444,228,199,191,396,331,571,453,507,503
Iso_3_439,102,236,127,44,32,257,116,130,94,133
Iso_3_440,552,562,486,429,583,312,527,440,357,628
Iso_3_441,1,0,1,1,0,0,1,1,0,0
Iso_3_442,37,62,37,99,75,66,50,65,45,19
Iso_3_443,140,133,161,177,165,169,128,169,190,119
Iso_3_444,43,75,91,25,74,74,74,40,36,20
Iso_3_445,413,329,240,231,317,285,340,452,332,425
Iso_3_446,525,1315,589,1050,609,895,828,1203,444,700
Iso_3_447,60,79,175,82,121,120,136,96,86,180
Iso_3_448,5,29,9,14,11,18,33,5,15,7
Iso_3_449,82,7,1,20,11,5,16,45,18,34
Iso_3_450,54,82,38,37,46,60,75,56,53,38
Iso_3_451,272,263,292,223,417,249,306,266,417,305
Iso_3_452,1,0,3,1,2,1,3,1,6,4
Iso_3_453,128,49,184,137,76,107,152,94,164,240
Iso_3_454,3,1,1,19,17,13,15,5,23,9
Iso_3_455,61,70,50,38,8,6,134,51,42,191
Iso_3_456,0,1,0,0,2,0,1,0,1,0
Iso_3_457,397,361,911,967,1173,1321,820,471,1117,606
Iso_3_458,33,53,32,22,41,27,8,68,97,34
Iso_3_459,409,357,436,502,306,335,352,363,275,427
Iso_3_460,683,421,1159,1030,721,1063,736,962,894,810
Iso_3_461,39,23,40,45,22,32,34,56,34,56
Iso_3_462,33,37,29,10,44,72,36,23,43,9
Iso_3_463,315,358,318,317,282,414,351,432,432,296
Iso_3_464,309,329,374,439,380,363,206,312,385,351
Iso_3_465,94,111,202,55,126,82,137,81,73,69
Iso_3_466,99,155,216,383,174,107,149,151,167,156
Iso_3_467,106,76,80,20,17,137,143,253,58,122
Iso_3_468,8,12,17,2,28,6,8,2,3,8
Iso_3_469,5,5,1,6,0,2,0,7,1,1
Iso_3_470,227,58,142,145,107,115,223,152,150,73
Iso_3_471,2246,2630,1652,3533,1871,2714,2700,3042,1922,2033
Iso_3_472,5978,4267,4612,3433,5059,6462,6143,5364,3326,5091
Iso_3_473,267,412,243,325,244,136,410,198,101,177
Iso_3_474,173,263,247,290,152,341,215,212,290,255
Iso_3_475,37,18,19,22,30,17,16,41,38,34
Iso_3_476,112,175,136,150,81,131,134,171,112,170
Iso_3_477,42,43,49,61,40,45,52,28,40,52
Iso_3_478,1642,1695,2227,2867,1979,1823,1468,1329,1889,1942
Iso_3_479,63,48,38,28,57,61,42,17,21,51
Iso_3_480,40,106,20,114,101,39,76,74,148,73
Iso_3_481,301,338,525,248,389,403,420,194,158,279
Iso_3_482,1,3,0,3,1,6,1,2,3,7
Iso_3_483,56,185,174,253,172,181,184,227,130,142
Iso_3_484,92,79,118,50,84,97,123,79,72,52
Iso_3_485,78,133,76,89,99,107,67,107,194,38
Iso_3_486,352,349,539,379,53,137,143,259,76,89
Iso_3_487,35,360,182,57,301,72,423,387,532,887
Iso_3_488,61,25,31,3,37,18,12,26,111,57
Iso_3_489,4,2,9,3,6,4,9,1,4,3
Iso_3_490,155,179,193,187,169,242,262,230,344,150
Iso_3_491,77,76,57,24,63,53,73,115,66,69
Iso_3_492,267,236,223,205,246,462,307,237,182,300
Iso_3_493,25,53,40,57,78,49,68,68,64,98
Iso_3_494,105,126,124,126,185,117,97,97,136,80
Iso_3_495,25,17,4,23,33,44,9,0,44,4
Iso_3_496,258,459,346,460,409,538,190,457,399,238
Iso_3_497,4,0,4,1,2,9,5,3,1,3
Iso_3_498,619,1214,1061,825,548,707,707,1350,1109,801
Iso_3_499,218,661,213,350,389,241,192,224,272,657
Iso_3_500,159,90,96,56,173,64,147,79,185,136
Iso_3_501,82,33,71,43,60,72,79,114,154,38
Iso_3_502,26,35,24,19,12,32,34,24,39,24
Iso_3_503,210,161,261,194,170,208,169,183,184,261
Iso_3_504,50,57,56,48,42,58,21,64,29,21
Iso_3_505,7,10,1,21,4,7,2,5,7,4
Iso_3_506,5,37,1,14,14,19,0,12,30,12
Iso_3_507,34,88,59,68,69,64,53,61,72,49
Iso_3_508,44,41,50,77,44,45,47,15,32,28
Iso_3_509,1,11,10,6,5,13,2,15,9,5
Iso_3_510,26,33,42,16,40,34,32,46,31,31
Iso_3_511,84,35,40,68,80,67,100,49,70,33
Iso_3_512,13,34,27,9,42,16,21,14,33,44
Iso_3_513,124,196,206,270,185,225,231,251,168,138
Iso_3_514,101,27,171,139,76,231,124,66,41,44
Iso_3_515,634,598,1195,1107,809,903,1209,595,838,601
Iso_3_516,855,729,1092,859,742,898,683,573,768,1161
Iso_3_517,223,341,383,381,306,215,423,493,582,335
Iso_3_518,1053,933,975,1286,851,1240,307,982,2176,1337
Iso_3_519,209,163,195,245,237,130,232,166,194,229
Iso_3_520,35,12,14,110,34,54,45,26,45,90
Iso_3_521,99,109,103,72,99,100,101,147,97,102
Iso_3_522,2,0,2,2,4,1,3,2,1,2
Iso_3_523,594,380,754,504,514,545,661,580,287,534
Iso_3_524,3,0,0,3,0,0,0,0,1,0
Iso_3_525,97,87,85,135,93,59,104,130,51,92
Iso_3_526,45,61,59,59,78,99,13,28,83,138
Iso_3_527,89,130,130,138,89,190,100,145,97,143
Iso_3_528,183,170,200,319,221,254,281,189,95,200
Iso_3_529,1,3,3,7,3,0,15,2,5,0
Iso_3_530,35,16,85,71,78,119,96,81,83,54
Iso_3_531,157,235,197,187,219,251,199,160,132,116
Iso_3_532,5,3,8,3,8,5,4,9,2,7
Iso_3_533,261,337,277,226,369,242,152,353,326,172
Iso_3_534,13,11,8,10,15,3,5,10,13,8
Iso_3_535,193,234,160,236,207,227,214,289,243,161
Iso_3_536,4,3,0,0,3,3,2,1,4,3
Iso_3_537,100,35,273,69,242,89,109,75,186,99
Iso_3_538,306,288,352,392,334,286,299,353,308,328
Iso_3_539,90,151,95,117,120,88,170,81,126,92
Iso_3_540,210,157,255,211,220,288,125,193,139,211
Iso_3_541,11,10,10,10,14,20,24,28,11,15
Iso_3_542,194,316,194,392,157,443,350,434,282,252
Iso_3_543,130,123,61,13,96,115,82,106,49,82
Iso_3_544,323,305,252,490,361,186,281,426,344,424
Iso_3_545,21,130,47,82,79,75,75,100,31,66
Iso_3_546,3,9,0,0,0,1,7,1,2,6
Iso_3_547,2227,1283,1654,1983,2243,2215,2296,3657,2818,2757
Iso_3_548,592,422,471,439,361,318,438,487,354,332
Iso_3_549,49,24,28,44,8,12,23,62,22,48
Iso_3_550,5,1,1,12,7,3,1,1,0,0
Iso_3_551,436,315,308,395,393,478,410,389,449,431
Iso_3_552,85,59,66,50,31,67,60,119,56,79
Iso_3_553,82,57,59,34,56,35,67,32,82,28
Iso_3_554,34,33,46,36,47,39,35,18,36,24
Iso_3_555,284,280,409,235,394,480,224,278,376,427
Iso_3_556,35,13,23,24,30,32,11,20,4,22
Iso_3_557,112,121,98,186,102,97,159,224,103,100
Iso_3_558,119,40,84,104,74,69,63,68,54,95
Iso_3_559,313,198,202,198,179,269,204,225,153,179
Iso_3_560,103,61,104,1,31,48,317,31,91,143
Iso_3_561,899,506,489,612,458,462,485,380,471,609
Iso_3_562,0,1,1,0,0,0,0,0,0,0
Iso_3_563,90,75,64,78,93,97,132,68,81,61
Iso_3_564,17,21,16,26,14,23,10,28,14,10
Iso_3_565,288,214,327,402,160,160,216,230,235,303
Iso_3_566,695,728,810,1054,488,772,1017,605,697,754
Iso_3_567,9,0,3,2,0,2,0,0,3,1
Iso_3_568,190,123,125,188,199,368,127,89,126,135
Iso_3_569,3,1,9,3,2,11,5,3,6,1
Iso_3_570,302,268,99,137,166,108,116,353,170,145
Iso_3_571,40,128,3,114,18,2,269,116,145,70
Iso_3_572,278,298,255,320,267,252,297,311,384,247
Iso_3_573,178,132,159,104,105,167,138,149,170,191
Iso_3_574,155,129,48,59,33,105,68,6,130,49
Iso_3_575,8,12,12,10,6,14,9,12,6,16
Iso_3_576,7,5,8,6,4,4,7,11,6,8
Iso_3_577,92,71,105,153,81,65,151,51,92,107
Iso_3_578,230,145,108,159,161,195,148,113,128,231
Iso_3_579,3,34,4,22,31,1,16,43,27,17
Iso_3_580,277,305,378,271,371,479,292,389,408,539
Iso_3_581,53,49,56,23,42,64,41,21,13,38
Iso_3_582,39,49,41,61,51,33,69,54,73,51
Iso_3_583,107,165,181,213,95,77,116,214,135,177
Iso_3_584,15,14,18,11,9,7,5,9,22,29
Iso_3_585,134,289,152,220,114,62,97,111,86,153
Iso_3_586,51,89,67,94,58,79,60,60,105,94
Iso_3_587,762,1088,974,1981,1026,1351,1822,1249,739,904
Iso_3_588,89,74,65,96,40,105,42,71,57,47
Iso_3_589,318,372,514,681,612,487,386,541,334,373
Iso_3_590,39,10,20,32,83,5,40,19,7,11
Iso_3_591,435,466,622,513,705,428,469,377,422,644
Iso_3_592,72,82,54,45,96,66,63,76,77,101
Iso_3_593,522,278,311,281,134,313,256,289,417,235
Iso_3_594,19,28,9,13,16,7,10,14,21,37
Iso_3_595,493,458,362,524,468,625,381,299,459,421
Iso_3_596,10,21,92,10,4,2,85,31,14,16
Iso_3_597,29,114,48,44,57,27,65,29,73,93
Iso_3_598,131,45,50,74,79,86,109,74,83,48
Iso_3_599,57,40,32,79,49,14,46,58,58,28
Iso_3_600,24,5,17,16,18,17,24,17,22,23
Iso_3_601,142,96,85,116,178,66,98,140,143,159
Iso_3_602,100,232,170,212,213,176,186,451,96,99
Iso_3_603,37,605,212,176,526,614,439,253,140,451
Iso_3_604,8,5,8,6,5,6,15,11,8,2
Iso_3_605,15,0,0,1,7,2,1,2,2,5
Iso_3_606,22,18,33,27,11,18,9,18,27,28
Iso_3_607,54,57,146,66,34,114,57,219,255,90
Iso_3_608,533,491,508,552,489,314,526,456,507,388
Iso_3_609,34,22,15,9,9,23,25,18,28,13
Iso_3_610,375,352,486,283,237,529,520,306,369,402
Iso_3_611,24,24,19,13,30,13,18,10,16,27
Iso_3_612,74,59,116,87,69,95,64,65,87,79
